Organ,FTU Label in Uberon,FTU ID in Uberon,CT Label in CL,CT ID in CL,CT Label in 2D Object,#CT,#AS
,,,,,,,
Small Intestine,intestinal villus,UBERON 0001213,natural killer cell,CL:0000623,natural killer cell,3,
Small Intestine,intestinal villus,UBERON 0001213,fibroblast,CL:0000057,fibroblast,18,
Small Intestine,intestinal villus,UBERON 0001213,tuft cell of small intestine,CL:0009080,tuft cell of small intestine,18,
Small Intestine,intestinal villus,UBERON 0001213,enterocyte,CL:0000584,enterocyte,305,
Small Intestine,intestinal villus,UBERON 0001213,mast cell,CL:0000097,mast cell,2,
Small Intestine,intestinal villus,UBERON 0001213,duodenal goblet cell,CL:1000324,duodenal goblet cell,17,
Small Intestine,intestinal villus,UBERON 0001213,myofibroblast,CL:0000186,myofibroblast,79,
Small Intestine,intestinal villus,UBERON 0001213,plasma cell,CL:0000786,plasma cell,9,
Small Intestine,intestinal villus,UBERON 0001213,dendritic cell,CL:0000451,dendritic cell,12,
Small Intestine,intestinal villus,UBERON 0001213,B cell,CL:0000236,B cell,160,
Small Intestine,intestinal villus,UBERON 0001213,eosinophil,CL:0000771,eosinophil,4,
Small Intestine,intestinal villus,UBERON 0001213,macrophage,CL:0000235,macrophage,4,
Small Intestine,intestinal villus,UBERON 0001213,innate lymphoid cell,CL:0001065,innate lymphoid cell,26,
Small Intestine,intestinal villus,UBERON 0001213,endocrine cell,CL:0000163,endocrine cell,2,
